Ticker  Data ID    Change                    Start Date      End Date       
WYNN    10665790   -0.529605341934916707     2015-01-02      2016-01-2      
HLT     15597885   -0.329121482202981153     2015-01-02      2016-01-2      
CPRI    1630057    -0.40969244284962264      2015-01-02      2016-01-2      
FCX     16596976   -0.806094818068871177     2015-01-02      2016-01-2      
DISCK   19815569   -0.333991463371622443     2015-01-02      2016-01-2      
WDC     20187699   -0.614966792915329963     2015-01-02      2016-01-2      
MRO     20703873   -0.512257781648721822     2015-01-02      2016-01-2      
ARNC    24851373   -0.446599396541760174     2015-01-02      2016-01-2      
KMI     30768577   -0.557582210666671907     2015-01-02      2016-01-2      
MU      31021307   -0.674503695937662018     2015-01-02      2016-01-2      
CTL     32412438   -0.418588161828963801     2015-01-02      2016-01-2      
VIAB    32885233   -0.453834181078029919     2015-01-02      2016-01-2      
RRC     34045161   -0.571810318370436055     2015-01-02      2016-01-2      
IRM     42866848   -0.324239562155265282     2015-01-02      2016-01-2      
NAVI    43873720   -0.33428606395958893      2015-01-02      2016-01-2      
DVN     45954908   -0.309042517053921606     2015-01-02      2016-01-2      
PYPL    50254086   -0.454851133433838428     2015-01-02      2016-01-2      
OKE     53591589   -0.488618140243613275     2015-01-02      2016-01-2      
UAL     57445301   -0.388830827359662012     2015-01-02      2016-01-2      
UNP     62700363   -0.312598215757579123     2015-01-02      2016-01-2      
M       65834072   -0.405630862125998637     2015-01-02      2016-01-2      
NRG     69526568   -0.752571366877267778     2015-01-02      2016-01-2      
MOS     72732720   -0.485590228586271488     2015-01-02      2016-01-2      
RL      75363658   -0.419111774036120155     2015-01-02      2016-01-2      
WHR     8278481    -0.304461387061207567     2015-01-02      2016-01-2      
TWTR    89152944   -0.337207862817424209     2015-01-02      2016-01-2      
BIIB    94972831   -0.301723168953329013     2015-01-02      2016-01-2      
PVH     96231679   -0.55903967850810321      2015-01-02      2016-01-2      
