Ticker  Data ID    Change                    Start Date      End Date       
GILD    15617176   -0.223086640842610151     08-01-2015      07-01-2016     
WDC     20187699   -0.451666028479204729     08-01-2015      07-01-2016     
KMI     30768577   -0.257408585519592503     08-01-2015      07-01-2016     
MU      31021307   -0.343098466451358886     08-01-2015      07-01-2016     
AGN     31149398   -0.361336185231431517     08-01-2015      07-01-2016     
CBRE    35384048   -0.291305336628513656     08-01-2015      07-01-2016     
CF      36399420   -0.722052871822084663     08-01-2015      07-01-2016     
STX     38289830   -0.265755532601534838     08-01-2015      07-01-2016     
VRTX    4524942    -0.227364735251060351     08-01-2015      07-01-2016     
MYL     52788775   -0.252852422253312836     08-01-2015      07-01-2016     
PRGO    59974515   -0.332461154891153521     08-01-2015      07-01-2016     
UAA     6088017    -0.290281055659959542     08-01-2015      07-01-2016     
HBI     62507046   -0.279225303351055831     08-01-2015      07-01-2016     
CFG     63884939   -0.278017478074772284     08-01-2015      07-01-2016     
M       65834072   -0.532712175375525288     08-01-2015      07-01-2016     
DAL     74310454   -0.283298807696198141     08-01-2015      07-01-2016     
HFC     78309921   -0.281935592630660703     08-01-2015      07-01-2016     
BAC     82355083   -0.300881392225747391     08-01-2015      07-01-2016     
TWTR    89152944   -0.257382606312319739     08-01-2015      07-01-2016     
CMG     92621165   -0.234322141058786182     08-01-2015      07-01-2016     
REGN    9518343    -0.325776458020568538     08-01-2015      07-01-2016     
PVH     96231679   -0.224589348215637863     08-01-2015      07-01-2016     
EVHC    99790984   -0.271423755299977032     08-01-2015      07-01-2016     
