Date,High,Low,Open,Close,Volume,Adj Close
1970-04-13,8.5,8.40625,8.5,8.40625,20800.0,1.4873274564743042
1970-04-14,8.5625,8.3125,8.40625,8.5,32800.0,1.5039141178131104
1970-04-15,8.5,8.375,8.5,8.40625,20000.0,1.4873274564743042
1970-04-16,8.4375,8.375,8.40625,8.40625,13600.0,1.4873274564743042
1970-04-17,8.5,8.375,8.40625,8.4375,27600.0,1.492856740951538
1970-04-20,8.375,8.3125,8.375,8.34375,26000.0,1.4762691259384155
1970-04-21,8.40625,8.3125,8.34375,8.375,29600.0,1.481797695159912
1970-04-22,8.375,8.25,8.375,8.25,60400.0,1.4596816301345825
1970-04-23,8.25,7.875,8.25,7.875,54400.0,1.3933323621749878
1970-04-24,7.90625,7.6875,7.875,7.78125,58400.0,1.376745343208313
1970-04-27,7.8125,7.46875,7.78125,7.46875,35200.0,1.3343150615692139
1970-04-28,7.625,7.28125,7.46875,7.46875,91200.0,1.3343150615692139
1970-04-29,7.78125,7.40625,7.46875,7.78125,26800.0,1.390143871307373
1970-04-30,8.0625,7.90625,7.90625,8.03125,44000.0,1.4348076581954956
1970-05-01,7.96875,7.59375,7.96875,7.75,28400.0,1.384560227394104
1970-05-04,7.65625,7.4375,7.65625,7.46875,88400.0,1.3343150615692139
1970-05-05,7.59375,7.4375,7.46875,7.5,51600.0,1.3398988246917725
1970-05-06,7.75,7.40625,7.5,7.5625,24000.0,1.351063847541809
1970-05-07,7.6875,7.46875,7.5625,7.46875,38400.0,1.3343150615692139
1970-05-08,7.59375,7.4375,7.46875,7.4375,11200.0,1.3287326097488403
1970-05-11,7.4375,6.6875,7.4375,6.71875,34000.0,1.2003252506256104
1970-05-12,7.125,6.59375,6.71875,6.96875,44000.0,1.2449887990951538
1970-05-13,6.96875,6.8125,6.96875,6.9375,10800.0,1.2394050359725952
1970-05-14,6.96875,6.78125,6.9375,6.84375,60400.0,1.2226567268371582
1970-05-15,7.4375,6.875,6.875,7.40625,73200.0,1.3231483697891235
1970-05-18,7.5,7.25,7.40625,7.4375,26400.0,1.3287326097488403
1970-05-19,7.5625,7.375,7.4375,7.375,72400.0,1.3175662755966187
1970-05-20,7.3125,7.15625,7.3125,7.15625,50400.0,1.2784862518310547
1970-05-21,7.125,7.0,7.125,7.09375,96400.0,1.267319679260254
1970-05-22,7.0625,6.75,7.0625,6.78125,33600.0,1.2114914655685425
1970-05-25,6.71875,6.375,6.71875,6.375,42800.0,1.1389127969741821
1970-05-26,6.625,6.34375,6.375,6.625,54400.0,1.1835769414901733
1970-05-27,7.1875,6.65625,6.65625,7.1875,63200.0,1.2840696573257446
1970-05-28,7.6875,7.28125,7.28125,7.4375,132800.0,1.3287326097488403
1970-05-29,7.5,7.28125,7.4375,7.375,89600.0,1.3175662755966187
1970-06-01,7.5,7.1875,7.375,7.4375,53200.0,1.3287326097488403
1970-06-02,7.5625,7.375,7.4375,7.4375,31600.0,1.3287326097488403
1970-06-03,7.625,7.375,7.4375,7.5,34400.0,1.3398988246917725
1970-06-04,7.53125,7.15625,7.5,7.15625,41200.0,1.2784862518310547
1970-06-05,7.25,7.03125,7.15625,7.1875,42800.0,1.2840696573257446
1970-06-08,7.40625,7.15625,7.1875,7.25,43600.0,1.2952345609664917
1970-06-09,7.40625,7.28125,7.28125,7.28125,19200.0,1.3008167743682861
1970-06-10,7.40625,7.28125,7.28125,7.34375,12000.0,1.3119829893112183
1970-06-11,7.34375,7.21875,7.34375,7.21875,35600.0,1.2896517515182495
1970-06-12,7.28125,7.15625,7.21875,7.28125,20400.0,1.3008167743682861
1970-06-15,7.40625,7.21875,7.28125,7.375,19200.0,1.3175662755966187
1970-06-16,7.46875,7.34375,7.375,7.4375,8400.0,1.3287326097488403
1970-06-17,7.4375,7.375,7.4375,7.4375,36000.0,1.3287326097488403
1970-06-18,7.5625,7.40625,7.4375,7.5625,33600.0,1.351063847541809
1970-06-19,7.84375,7.65625,7.65625,7.8125,46000.0,1.3957273960113525
1970-06-22,7.84375,7.53125,7.8125,7.71875,32400.0,1.3789772987365723
1970-06-23,7.78125,7.65625,7.71875,7.6875,23600.0,1.3733956813812256
1970-06-24,7.625,7.53125,7.625,7.5625,13200.0,1.351063847541809
1970-06-25,7.71875,7.5,7.5625,7.625,15200.0,1.3622292280197144
1970-06-26,7.625,7.4375,7.625,7.4375,20000.0,1.3287326097488403
1970-06-29,7.375,7.1875,7.375,7.25,34000.0,1.2952345609664917
1970-06-30,7.3125,7.1875,7.25,7.3125,24800.0,1.3063998222351074
1970-07-01,7.3125,7.1875,7.3125,7.3125,60800.0,1.3063998222351074
1970-07-02,7.375,7.3125,7.3125,7.3125,6400.0,1.3063998222351074
1970-07-06,7.46875,7.34375,7.34375,7.375,33200.0,1.3175662755966187
1970-07-07,7.375,7.3125,7.375,7.3125,20400.0,1.3063998222351074
1970-07-08,7.40625,7.3125,7.3125,7.40625,14000.0,1.3231483697891235
1970-07-09,7.5,7.40625,7.40625,7.4375,29200.0,1.3287326097488403
1970-07-10,7.46875,7.375,7.4375,7.375,26800.0,1.3175662755966187
1970-07-13,7.4375,7.34375,7.375,7.375,13600.0,1.3175662755966187
1970-07-14,7.4375,7.34375,7.375,7.40625,21200.0,1.3231483697891235
1970-07-15,7.5,7.34375,7.40625,7.5,15600.0,1.3398988246917725
1970-07-16,7.71875,7.5625,7.5625,7.6875,20800.0,1.3733956813812256
1970-07-17,7.84375,7.65625,7.6875,7.71875,60000.0,1.3789772987365723
1970-07-20,7.9375,7.8125,7.8125,7.9375,54000.0,1.4180586338043213
1970-07-21,7.96875,7.875,7.9375,7.875,47200.0,1.4068931341171265
1970-07-22,8.1875,7.78125,7.875,7.84375,102000.0,1.4013103246688843
1970-07-23,8.09375,7.75,7.84375,8.09375,31600.0,1.4459726810455322
1970-07-24,8.0625,7.8125,8.0625,7.84375,59200.0,1.4013103246688843
1970-07-27,8.0,7.78125,7.84375,7.8125,30000.0,1.3957273960113525
1970-07-28,7.8125,7.625,7.8125,7.71875,25200.0,1.3923439979553223
1970-07-29,7.84375,7.6875,7.71875,7.78125,32000.0,1.403618574142456
1970-07-30,8.0,7.8125,7.8125,7.875,30400.0,1.4205303192138672
1970-07-31,8.09375,7.875,7.875,7.96875,73600.0,1.4374407529830933
1970-08-03,8.0,7.90625,7.96875,7.90625,18800.0,1.4261674880981445
1970-08-04,7.90625,7.8125,7.90625,7.90625,11600.0,1.4261674880981445
1970-08-05,7.9375,7.8125,7.90625,7.875,20800.0,1.4205303192138672
1970-08-06,7.875,7.78125,7.875,7.78125,21200.0,1.403618574142456
1970-08-07,7.875,7.78125,7.78125,7.8125,14000.0,1.409256100654602
1970-08-10,7.9375,7.875,7.875,7.875,17600.0,1.4205303192138672
1970-08-11,7.96875,7.8125,7.875,7.9375,22400.0,1.4318044185638428
1970-08-12,7.9375,7.75,7.9375,7.75,24000.0,1.3979806900024414
1970-08-13,7.84375,7.625,7.75,7.625,16800.0,1.375433325767517
1970-08-14,7.71875,7.5625,7.625,7.59375,40400.0,1.3697961568832397
1970-08-17,7.65625,7.53125,7.59375,7.59375,4800.0,1.3697961568832397
1970-08-18,7.71875,7.625,7.625,7.625,60800.0,1.375433325767517
1970-08-19,7.75,7.625,7.625,7.625,21600.0,1.375433325767517
1970-08-20,7.84375,7.65625,7.65625,7.8125,41200.0,1.409256100654602
1970-08-21,8.21875,7.75,7.8125,8.21875,100000.0,1.4825372695922852
1970-08-24,8.4375,8.375,8.375,8.40625,102400.0,1.5163594484329224
1970-08-25,8.5,8.25,8.40625,8.375,53200.0,1.5107213258743286
1970-08-26,8.40625,8.28125,8.375,8.3125,16000.0,1.4994480609893799
1970-08-27,8.5,8.25,8.3125,8.46875,68400.0,1.527632713317871
1970-08-28,8.625,8.4375,8.46875,8.625,18400.0,1.555818796157837
1970-08-31,8.875,8.6875,8.6875,8.84375,57600.0,1.5952773094177246
1970-09-01,8.8125,8.65625,8.8125,8.65625,28800.0,1.5614548921585083
1970-09-02,8.59375,8.4375,8.59375,8.59375,30800.0,1.5501813888549805
1970-09-03,8.5,8.4375,8.5,8.5,13200.0,1.5332708358764648
1970-09-04,8.5625,8.40625,8.5,8.5,34800.0,1.5332708358764648
1970-09-08,8.84375,8.46875,8.5,8.84375,44000.0,1.5952773094177246
1970-09-09,8.84375,8.65625,8.84375,8.78125,80000.0,1.5840034484863281
1970-09-10,8.75,8.625,8.75,8.625,59600.0,1.555818796157837
1970-09-11,8.625,8.53125,8.625,8.59375,17600.0,1.5501813888549805
1970-09-14,8.5,8.3125,8.5,8.34375,36800.0,1.505086064338684
1970-09-15,8.34375,8.1875,8.34375,8.3125,8800.0,1.4994480609893799
1970-09-16,8.3125,8.1875,8.3125,8.21875,15600.0,1.4825372695922852
1970-09-17,8.5,8.25,8.25,8.40625,38800.0,1.5163594484329224
1970-09-18,8.46875,8.375,8.40625,8.375,42800.0,1.5107213258743286
1970-09-21,8.46875,8.3125,8.375,8.3125,46800.0,1.4994480609893799
1970-09-22,8.34375,8.21875,8.3125,8.21875,21200.0,1.4825372695922852
1970-09-23,8.4375,8.21875,8.21875,8.25,31600.0,1.4881739616394043
1970-09-24,8.5,8.28125,8.28125,8.5,38000.0,1.5332708358764648
1970-09-25,8.5625,8.46875,8.5,8.46875,15600.0,1.527632713317871
1970-09-28,8.5,8.3125,8.46875,8.40625,53600.0,1.5163594484329224
1970-09-29,8.46875,8.28125,8.40625,8.3125,33200.0,1.4994480609893799
1970-09-30,8.375,8.25,8.3125,8.34375,20400.0,1.505086064338684
1970-10-01,8.46875,8.34375,8.34375,8.4375,19200.0,1.5219966173171997
1970-10-02,8.59375,8.40625,8.4375,8.59375,34800.0,1.5501813888549805
1970-10-05,8.75,8.59375,8.59375,8.71875,77600.0,1.5727293491363525
