Ticker  Data ID    Change                    Start Date      End Date       
WYNN    10665790   -0.576754272865603879     2018-01-01      2019-01-01     
ZION    11460617   -0.479078786416490709     2018-01-01      2019-01-01     
AOS     11495552   -0.422695760845505031     2018-01-01      2019-01-01     
EA      11773677   -0.456035838912773661     2018-01-01      2019-01-01     
HES     12577370   -0.311103502876403204     2018-01-01      2019-01-01     
DISH    13084379   -0.793971256413930293     2018-01-01      2019-01-01     
AMG     13433619   -0.710806542399858854     2018-01-01      2019-01-01     
CE      14160255   -0.482589299171770514     2018-01-01      2019-01-01     
LYB     14714953   -0.50187595781199712      2018-01-01      2019-01-01     
LNC     15174035   -0.447784604410200349     2018-01-01      2019-01-01     
DD      15667908   -0.339312239302212104     2018-01-01      2019-01-01     
COF     15737357   -0.44647402471312142      2018-01-01      2019-01-01     
CPRI    1630057    -0.527159892237664573     2018-01-01      2019-01-01     
FCX     16596976   -0.573540357249031518     2018-01-01      2019-01-01     
KHC     18398917   -0.697861641034011937     2018-01-01      2019-01-01     
EQT     18547421   -0.461498494806271531     2018-01-01      2019-01-01     
WDC     20187699   -0.563826864196089295     2018-01-01      2019-01-01     
CAT     22798606   -0.40223415471170465      2018-01-01      2019-01-01     
GS      23485592   -0.514975313454410832     2018-01-01      2019-01-01     
WMB     23513626   -0.401678887788641026     2018-01-01      2019-01-01     
HAL     23887016   -0.472711703872325473     2018-01-01      2019-01-01     
EOG     23922988   -0.337966614985018066     2018-01-01      2019-01-01     
MAS     24834887   -0.370086306619666461     2018-01-01      2019-01-01     
ARNC    24851373   -0.53102946103654336      2018-01-01      2019-01-01     
RCL     25096495   -0.452923271703013886     2018-01-01      2019-01-01     
PWR     2612046    -0.381531372347453435     2018-01-01      2019-01-01     
STI     27322251   -0.347411300992290006     2018-01-01      2019-01-01     
DXC     27962028   -0.47950090893081021      2018-01-01      2019-01-01     
PSX     28294646   -0.33142453165808905      2018-01-01      2019-01-01     
ODFL    28331474   -0.340277758981888223     2018-01-01      2019-01-01     
JEF     29251678   -0.523060708152350617     2018-01-01      2019-01-01     
NUE     29430044   -0.45839928971963495      2018-01-01      2019-01-01     
FTI     29706861   -0.502916653919578294     2018-01-01      2019-01-01     
CMI     30031281   -0.315655418675433785     2018-01-01      2019-01-01     
KMI     30768577   -0.356380350708097926     2018-01-01      2019-01-01     
AVY     31026139   -0.391253085403521217     2018-01-01      2019-01-01     
ADS     31049100   -0.54316909171600114      2018-01-01      2019-01-01     
MS      32670535   -0.41938586534989214      2018-01-01      2019-01-01     
LUV     33054878   -0.319715884693751617     2018-01-01      2019-01-01     
BKR     33522275   -0.370707194170973531     2018-01-01      2019-01-01     
UTX     33717300   -0.35215159888870512      2018-01-01      2019-01-01     
RRC     34045161   -0.600127372562123229     2018-01-01      2019-01-01     
ALB     34077463   -0.54941304101925037      2018-01-01      2019-01-01     
VMC     34199309   -0.435286204847740998     2018-01-01      2019-01-01     
LEG     34216602   -0.324806647563175122     2018-01-01      2019-01-01     
LEN     35466855   -0.596214672094773079     2018-01-01      2019-01-01     
C       35648962   -0.408399533431386352     2018-01-01      2019-01-01     
SRCL    36433657   -0.388160586790829099     2018-01-01      2019-01-01     
RF      38531402   -0.367166115650210401     2018-01-01      2019-01-01     
MAC     39381141   -0.334230911394185537     2018-01-01      2019-01-01     
T       41530168   -0.412764155318024628     2018-01-01      2019-01-01     
PFG     41881645   -0.473462212306503705     2018-01-01      2019-01-01     
HII     42410694   -0.324036863594156344     2018-01-01      2019-01-01     
FMC     42704550   -0.411941444882175434     2018-01-01      2019-01-01     
NAVI    43873720   -0.46204241972191229      2018-01-01      2019-01-01     
NFX     44475849   -0.934274966934409035     2018-01-01      2019-01-01     
GM      45219644   -0.474733314858133471     2018-01-01      2019-01-01     
SIVB    45952000   -0.381842670626637459     2018-01-01      2019-01-01     
DVN     45954908   -0.639855857360572822     2018-01-01      2019-01-01     
FBHS    46070347   -0.461285938451078237     2018-01-01      2019-01-01     
MHK     46107475   -0.464110990020910996     2018-01-01      2019-01-01     
STZ     46447922   -0.331212485622886632     2018-01-01      2019-01-01     
ROK     47142863   -0.362676902871098994     2018-01-01      2019-01-01     
OXY     47385626   -0.352223475273224063     2018-01-01      2019-01-01     
VIAC    47739704   -0.393591695456112112     2018-01-01      2019-01-01     
NWSA    50332034   -0.475715929036530205     2018-01-01      2019-01-01     
PM      50761259   -0.326777555250363394     2018-01-01      2019-01-01     
J       52428718   -0.323156402217336935     2018-01-01      2019-01-01     
LVS     52674497   -0.343711820015122793     2018-01-01      2019-01-01     
MYL     52788775   -0.519332442184319731     2018-01-01      2019-01-01     
SNA     52844667   -0.319513746895432882     2018-01-01      2019-01-01     
APTV    53379870   -0.446029031309960911     2018-01-01      2019-01-01     
NVDA    53435329   -0.351800110760543683     2018-01-01      2019-01-01     
BHF     55553542   -0.405161982845598956     2018-01-01      2019-01-01     
EMN     56019119   -0.357310642697861003     2018-01-01      2019-01-01     
LB      56545549   -0.585535597340285707     2018-01-01      2019-01-01     
IVZ     56761937   -0.77660488098181224      2018-01-01      2019-01-01     
AAL     57532200   -0.556158393796429285     2018-01-01      2019-01-01     
NTRS    57565904   -0.33113546662794241      2018-01-01      2019-01-01     
SLB     57892220   -0.647618222883721728     2018-01-01      2019-01-01     
LKQ     58696721   -0.633229567313941422     2018-01-01      2019-01-01     
STT     58710317   -0.359248819413115539     2018-01-01      2019-01-01     
PRU     58893195   -0.416162831533002597     2018-01-01      2019-01-01     
NCLH    59413373   -0.489994956336009535     2018-01-01      2019-01-01     
GE      60533372   -0.83451627127362038      2018-01-01      2019-01-01     
CELG    61093535   -0.644981348986785052     2018-01-01      2019-01-01     
CBS     6248448    -0.393591695456112112     2018-01-01      2019-01-01     
PXD     6257815    -0.549273363414494953     2018-01-01      2019-01-01     
PKG     6380366    -0.456166698820693217     2018-01-01      2019-01-01     
CFG     63884939   -0.529497721531944077     2018-01-01      2019-01-01     
WRK     66068323   -0.540069564701228466     2018-01-01      2019-01-01     
UNM     666467     -0.501488245165130686     2018-01-01      2019-01-01     
BLK     67361437   -0.394436897648948737     2018-01-01      2019-01-01     
ETN     6822390    -0.354026391032348065     2018-01-01      2019-01-01     
LMT     71848104   -0.357154414506382079     2018-01-01      2019-01-01     
BWA     71938753   -0.546319906216523932     2018-01-01      2019-01-01     
TTWO    72769023   -0.33333659468450616      2018-01-01      2019-01-01     
COG     74207188   -0.344625198169767444     2018-01-01      2019-01-01     
JBHT    74396234   -0.398686781964474768     2018-01-01      2019-01-01     
CMA     74971236   -0.379281950442658111     2018-01-01      2019-01-01     
FITB    76434898   -0.334904439088714312     2018-01-01      2019-01-01     
HBAN    77322762   -0.354260324015560513     2018-01-01      2019-01-01     
IP      78054363   -0.504876782596381468     2018-01-01      2019-01-01     
COTY    78860360   -1.06431930012855558      2018-01-01      2019-01-01     
WY      80724707   -0.433795621380687779     2018-01-01      2019-01-01     
F       82341131   -0.643653456530653867     2018-01-01      2019-01-01     
WHR     8278481    -0.409371767232044159     2018-01-01      2019-01-01     
APA     83614788   -0.485338294840032325     2018-01-01      2019-01-01     
TSN     83699733   -0.366362911540747238     2018-01-01      2019-01-01     
CXO     85354386   -0.519168823009882097     2018-01-01      2019-01-01     
HP      86104909   -0.46832704187265467      2018-01-01      2019-01-01     
SWK     86889828   -0.397219172356512884     2018-01-01      2019-01-01     
URI     87152163   -0.666628203880268999     2018-01-01      2019-01-01     
DFS     87686324   -0.401656341161658159     2018-01-01      2019-01-01     
KEY     88357881   -0.333243317111687254     2018-01-01      2019-01-01     
AMP     88963817   -0.489467854105533895     2018-01-01      2019-01-01     
ALXN    89186407   -0.620531361372592571     2018-01-01      2019-01-01     
SYF     89222713   -0.545037670312880085     2018-01-01      2019-01-01     
NBL     90121257   -0.464799014901506491     2018-01-01      2019-01-01     
FDX     90322124   -0.372809822856679574     2018-01-01      2019-01-01     
NWS     90786742   -0.454445640744034762     2018-01-01      2019-01-01     
NLSN    91953870   -0.392914306540631808     2018-01-01      2019-01-01     
TAP     94021955   -0.418862338688300251     2018-01-01      2019-01-01     
XRX     94253907   -0.480348766872969624     2018-01-01      2019-01-01     
NWL     94615304   -0.639885387847005882     2018-01-01      2019-01-01     
XEC     9559027    -0.716611738650274832     2018-01-01      2019-01-01     
PVH     96231679   -0.56274460417395511      2018-01-01      2019-01-01     
JEC     96630894   -0.323156402217336935     2018-01-01      2019-01-01     
DHI     98866797   -0.466190900459784563     2018-01-01      2019-01-01     
CAG     99135821   -0.527441887399822007     2018-01-01      2019-01-01     
FANG    99892450   -0.443034317914878573     2018-01-01      2019-01-01     
